Fehlerkategorie;Techn. Platz;Techn. Identitätsnr.;Störungsbeginn;Massnahme;Fehlertext;Ursache;Traktion;Anlagenart;Ort;Dauer (in Std.)
B;03-0101-012-01-2;;31.12.18;;Entgleisung;Drittverschulden;;;;0
C;01-9000-2-001-01;HNSA502/3;27.12.18;Eingestellt;Unterbruch;;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;2
C;03-0101-018;;28.12.18;;sonstiges;unbekannt /sonstiges;;;;0
C;01-0341-2-001-01;W0274;24.12.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Burgernziel;0
C;01-0340-2-001-01;W1009;21.12.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;4.3
C;01-0340-2-001-01;W1010;21.12.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0340-2-001-01;W1006;21.12.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Schwanengasse;0
C;01-0340-2-001-01;W1003;24.12.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Bahnhof;7.5
C;01-0340-2-001-01;W1003;20.12.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0
C;01-9000-2-001-01;HNSA502/3;20.12.18;Kontrolliert;Keine Endlage;;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;1
X;01-9001-2-001-01;HNSA600/1;01.12.18;Eingestellt;Ausserhalb Toleranz;;Tr;Elektrischer Weichensteuerung;Eigerplatz;1
B;03-0101-091;;17.12.18;Weitere Aktionen;sonstiges;;;;;9.3
C;01-0340-2-001-01;W1003;19.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0
C;01-0340-2-001-01;W1003;18.12.18;;Von Hand gestellt;Technische Störung;Tr;Elektrische Weiche;Bahnhof;0
C;01-0902-2-001-01;W3002;19.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;0
X;03-0101-091-14;TOR9101;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9102;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9103;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9104;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9105;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9106;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
C;03-0101-091-14;TOR9107;12.11.18;Gewartet;kein Fehler;;Tr;Torbrücke;Betriebshof Eiger;1
X;03-0101-091-14;TOR9107;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9108;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9109;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9110;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
X;03-0101-091-14;TOR9111;;Gewartet;kein Fehler;Geplante Instandhaltung;Tr;Torbrücke;Betriebshof Eiger;0
C;01-9000-2-001-01;HNSA502/1;15.12.18;Gewartet;kein Fehler;;Tr;Elektrischer Weichensteuerung;Depot Bolligenstrasse;5
C;01-9001-2-001-01;W5001;14.11.18;Gewartet;kein Fehler;;Tr;Elektrische Weiche;Depot Eiger;1
C;01-0340-2-001-01;W1009;17.12.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Hirschengraben;0
C;01-0341-2-001-01;W0274;13.12.18;;Unbekannter Fehler;unbekannt /sonstiges;Tr;Elektrische Weiche;Burgernziel;0
C;03-0101-004-01-1;;12.12.18;;Fremdeinwirkungen;Höhere Gewalt;;;;0
C;01-0340-2-001-01;W1014;12.12.18;;Kein Block;Technische Störung;Tr;Elektrische Weiche;Bundesgasse;0
C;03-0101-091-06-1;;11.12.18;Ersetzt;Fahrleitungsschaden;;;;;0
A;03-0101-006-09;;09.12.18;Weitere Aktionen;Entgleisung;;;;;2
C;01-0902-2-001-01;W0106;11.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Guisanplatz;0
C;01-0340-2-001-01;W1009;27.11.18;;Kein Block;;Tr;Elektrische Weiche;Hirschengraben;1
C;01-0337-2-001-01;W2002;10.12.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Unterführung;0
C;01-0337-2-001-01;W2002;08.12.18;;Unbekannter Fehler;;Tr;Elektrische Weiche;Unterführung;1
C;01-0340-2-001-01;W0043;27.11.18;Gereinigt;Kein Block;;Tr;Elektrische Weiche;Du Theatre;1
C;01-0340-2-001-01;W1016;10.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;National;0
C;01-0338-2-001-01;W2000;10.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Brunnmatt;0
C;01-0903-2-001-01;W0211;10.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Friedheim;0
C;03-0103;;10.12.18;;unbekannter Fehler;Höhere Gewalt;;;;0
C;01-0803-2-001-01;W2010;10.12.18;;Keine Endlage;Technische Störung;Tr;Elektrische Weiche;Holenacker;0
C;03-0101-029-05;W2902;10.12.18;;Elektrische Störung;Technische Störung;Tb;Elektrische Weiche;Wyler;0
C;03-0101-091-05;W9101;10.12.18;;Elektrische Störung;Technische Störung;Tb;Elektrische Weiche;Dienstgeleise Trolleybus;0
B;03-0101-091-01-2;;07.12.18;;Fahrleitungsschaden;Drittverschulden;;;;0
D;03-0101-013-09;;03.12.18;;sonstiges;;;;;19
C;03-0101-091-05;W9101;06.12.18;;Elektrische Störung;Technische Störung;Tb;Elektrische Weiche;Dienstgeleise Trolleybus;0
C;01-0340-2-001-01;W0043;07.12.18;;Block nicht gelöscht;Technische Störung;Tr;Elektrische Weiche;Du Theatre;0
C;01-9000-2-001-01;W4014;03.12.18;Gewartet;kein Fehler;;Tr;Elektrische Weiche;Depot Bolligenstrasse;2.5
C;01-0303-2-001-01;W5100;03.12.18;Gewartet;kein Fehler;;Tr;Elektrische Weiche;Eigerplatz;1
X;03-0101-013-01-1;FD1304;03.12.18;;sonstiges;unbekannt /sonstiges;Tr;Fahrdraht Tram;Spitalgasse;0
C;01-0303-2-001-01;W5102;03.12.18;;Unbekannter Fehler;Technische Störung;Tr;Elektrische Weiche;Eigerplatz;0
A;03-0101-090;;29.11.18;;Elektrische Störung;unbekannt /sonstiges;;;;0
